"","mz","VIP"
"236.10454","236.10454",0.275137187004091
"203.09934","203.09934",0.273666921614641
"466.12725","466.12725",0.273150306274895
"350.04307","350.04307",0.272987479263141
"353.17007","353.17007",0.272784932090943
"137.05588","137.05588",0.271853159480989
"727.02298","727.02298",0.271481951478788
"822.56590","822.56590",0.270270878155301
"424.26140","424.26140",0.267372976462151
"254.14742","254.14742",0.26680084371204
"351.20951","351.20951",0.266478503454485
"203.07957","203.07957",0.264463071955652
"202.11139","202.11139",0.264079059046847
"569.36000","569.36000",0.263931575976571
"731.53502","731.53502",0.262197961500321
"665.23110","665.23110",0.262182024091169
"662.11596","662.11596",0.26215997630355
"356.19355","356.19355",0.262140819161683
"914.56951","914.56951",0.261916645392589
"541.05855","541.05855",0.2579196105381
"227.10151","227.10151",0.25697606891097
"368.25398","368.25398",0.255808518264279
"573.31536","573.31536",0.254904704133601
"261.94027","261.94027",0.254785121982979
"833.51672","833.51672",0.253111690008549
"351.11503","351.11503",0.253100711981353
"590.23502","590.23502",0.253001947694289
"273.19031","273.19031",0.252958225081558
"671.48662","671.48662",0.252901419596853
"450.92824","450.92824",0.25144975514923
"814.51712","814.51712",0.249929082168833
"691.52367","691.52367",0.249709480040675
"364.25878","364.25878",0.249316273881311
"463.32930","463.32930",0.248477875815281
"284.09957","284.09957",0.247203961506043
"287.98689","287.98689",0.247053048746198
"404.00007","404.00007",0.246205006634843
"75.00922","75.00922",0.24603853071593
"934.57369","934.57369",0.244966287239763
"335.22741","335.22741",0.243915476471836
"307.16008","307.16008",0.243820645977542
"909.56312","909.56312",0.243678200471274
"298.11782","298.11782",0.243628840946683
"751.55860","751.55860",0.243490707588083
"834.53263","834.53263",0.242981842545578
"254.88198","254.88198",0.242402257500543
"115.02309","115.02309",0.242389282456428
"385.26395","385.26395",0.242124032577477
"623.46795","623.46795",0.241879387075728
"477.05020","477.05020",0.241703313990442
"723.98869","723.98869",0.241581847634404
"246.04907","246.04907",0.240204825930815
"965.54183","965.54183",0.239060857137782
"543.33641","543.33641",0.238996170081595
"355.26673","355.26673",0.238942264643359
"326.11905","326.11905",0.23851820952405
"837.20979","837.20979",0.237147130389181
"549.33717","549.33717",0.236348082595909
"857.52563","857.52563",0.236204938578146
"682.59684","682.59684",0.23606111280089
"670.59474","670.59474",0.235967527962124
"526.29944","526.29944",0.235155899068136
"453.02927","453.02927",0.234543293776077
"335.10070","335.10070",0.23378532927468
"723.31450","723.31450",0.232520021543927
"496.27332","496.27332",0.232356795674729
"489.34794","489.34794",0.232226097273764
