"","p1","o1","mz"
"229.01350",-0.0258009801234614,0.00779900893867061,"229.01350"
"229.10011",0.0013240308742058,-0.000646237000162352,"229.10011"
"229.15364",-0.00249809364255982,-0.000801477648634147,"229.15364"
"229.19404",0.000283834972723795,0.0121666067390837,"229.19404"
"230.06520",-0.000951826779650075,0.00332109632256405,"230.06520"
"230.15658",-0.00319981415932354,0.0019361941841104,"230.15658"
"231.05685",-0.00537670046909,0.000962887766490925,"231.05685"
"231.09934",0.00310696912870001,-0.000335613920671776,"231.09934"
"232.90499",-0.0212372922128203,0.00329612763534815,"232.90499"
"232.98471",-0.00372035138850449,0.00134065586961948,"232.98471"
"233.11950",-0.00210471728112683,0.000766808079909208,"233.11950"
"233.15816",0.0118588007522974,0.0100586240576478,"233.15816"
"234.06663",0.000726228467756352,0.00208203617667884,"234.06663"
"235.13719",-0.00171302871682168,0.00121509463622671,"235.13719"
"235.17216",0.0177557193320119,0.00997254552774632,"235.17216"
"236.02695",0.00171762606658447,0.000849911417179397,"236.02695"
"236.08013",0.000879615803790932,0.00133784760847267,"236.08013"
"236.10454",0.00836837510809718,-0.000605503495937177,"236.10454"
"236.87718",-0.0124558637843051,0.00177018961606658,"236.87718"
"237.11302",0.0104563808685976,0.00612502162018547,"237.11302"
"237.15277",0.00628097195285842,0.00513096044781153,"237.15277"
"238.99623",-0.00316731943881089,0.00439224361482931,"238.99623"
"239.16754",0.000325916500922922,0.000329537546595178,"239.16754"
"240.06263",0.00286954970527239,0.00190186452442693,"240.06263"
"241.10896",0.00945923078361032,0.00421656325194002,"241.10896"
"241.18440",0.0103446485238104,0.00778816370982322,"241.18440"
"242.08268",-0.0414060233801309,0.00200902391125655,"242.08268"
"242.14819",-0.0030708402291695,0.00203533148118782,"242.14819"
"243.06543",-0.226703433254543,0.0261919876127306,"243.06543"
"243.14223",-0.00170070344033132,-0.000275376703962625,"243.14223"
"243.17683",-0.00209388284090371,0.00196983873349365,"243.17683"
"243.19958",0.00550432442220203,0.0058170975438954,"243.19958"
"245.04547",-0.0180369662790698,0.00137116561966863,"245.04547"
"245.07388",-0.00903092914344832,0.00324477299731385,"245.07388"
"246.04907",-0.00730589749808833,0.00237538570904101,"246.04907"
"247.06664",-0.0113783791424515,0.0051395997313085,"247.06664"
"247.13895",0.000760036188533786,0.00591581260626024,"247.13895"
"248.97708",0.00276707317438745,0.00283097788512887,"248.97708"
"249.15245",0.000710239336876677,0.00627277047721945,"249.15245"
"250.04771",-0.00389866859700523,7.55628474476693e-05,"250.04771"
"250.08959",-0.00407320118949869,0.000597879251872403,"250.08959"
"250.14840",0.00397368548439244,0.0143271826243364,"250.14840"
"251.08500",-0.00294415202967843,-0.000203814025042406,"251.08500"
"251.20483",0.0157759098490388,0.0233036562576475,"251.20483"
"251.99967",0.00200767758219796,0.00137251523721797,"251.99967"
"252.10605",0.00257884147608413,0.000109328873008814,"252.10605"
"252.95477",0.00321364484572899,0.000721734015776131,"252.95477"
"253.10760",-0.0110718204677603,0.00494447033525937,"253.10760"
"253.21990",0.156806777333582,0.17357439723382,"253.21990"
"254.08180",-0.0155020586268841,0.00266956638090146,"254.08180"
"254.14742",0.00811482287672718,-0.000715368191249842,"254.14742"
"254.88198",-0.00737273299877105,0.002205115619776,"254.88198"
"254.98179",-0.0248561429197351,0.00208555837106807,"254.98179"
"255.00374",-0.00404605454807798,-0.000765752731405754,"255.00374"
"255.16822",0.00186896758076067,0.00310162576196966,"255.16822"
"255.23560",0.347766708762921,0.456574147082244,"255.23560"
"256.06279",-0.0179038683881862,0.00280846602853223,"256.06279"
"256.09887",0.00562217952697297,0.00243831536805402,"256.09887"
"257.18026",0.000410604911398014,0.00189209383054592,"257.18026"
"259.03503",-0.000502711534715612,0.00302302156789594,"259.03503"
"259.13101",-0.00129020173652877,0.00105819290991049,"259.13101"
"260.04112",-0.00176435161256568,0.00299122405379331,"260.04112"
"261.03505",-0.00952740006361022,0.00383963011321281,"261.03505"
"261.14184",0.0228902111161228,0.00573800771600924,"261.14184"
"261.94027",0.00774936131292263,0.00183856539969353,"261.94027"
"262.09461",-0.00357261746756513,0.000297603746353614,"262.09461"
"263.03630",-0.00630229818661333,-0.00240542851140799,"263.03630"
"263.06374",-0.00177840378416153,0.000215667645761475,"263.06374"
"263.13329",0.00330859711231068,0.00396652955609472,"263.13329"
"263.16468",0.00493186986413047,0.0035720089893654,"263.16468"
"265.02313",-0.0162023190570678,0.00491268528811501,"265.02313"
"265.22190",0.0124920262653639,0.0120624122791394,"265.22190"
"266.02040",-0.0132270112466279,0.00196173648483032,"266.02040"
"266.08791",-0.0183197014979023,0.00161289869482153,"266.08791"
"266.81757",-0.00329215522970191,0.00150338344828409,"266.81757"
"267.07775",-0.2261909442826,0.0240153125871263,"267.07775"
"267.12020",0.00327343854765809,-0.000616044348163435,"267.12020"
"267.23540",0.0239230961564696,0.0411283346876218,"267.23540"
"268.10704",-0.00152507134593776,0.00333677282896355,"268.10704"
"269.09247",-0.12414379682305,0.00216666797542397,"269.09247"
"269.21626",0.0657307016735323,0.0583686726134666,"269.21626"
"269.25119",0.0198217582667219,0.0264358522885737,"269.25119"
"271.00348",0.0144976549675033,-0.000383589405881224,"271.00348"
"271.23011",0.03493187174132,0.0436773286582285,"271.23011"
"272.01003",-0.0179980553776332,-0.000998169023305769,"272.01003"
"272.09269",-0.0450917850720724,0.00453713287453738,"272.09269"
"273.05563",-0.00693261754127551,0.00116217052590512,"273.05563"
"273.09249",0.00269035165304598,0.00488583594210547,"273.09249"
"273.19031",0.00769379572863582,0.00258556116304787,"273.19031"
"273.22751",-0.000591378910426288,0.00373198834765453,"273.22751"
"274.03582",0.00336459513160567,0.00313306433946006,"274.03582"
"274.10432",0.00242736513044343,-0.00069234408469832,"274.10432"
"275.05270",-0.00427710231680032,0.00133263402987344,"275.05270"
"275.94608",-0.00477684414534948,0.00102632360466318,"275.94608"
"276.08043",-0.0197107290059146,-0.00459427071906177,"276.08043"
"277.03708",-0.0227348243712485,0.0124031824808542,"277.03708"
"277.07741",-0.0520591849399094,-0.00568201935024999,"277.07741"
"277.15059",0.00378856635773493,0.00550848450684369,"277.15059"
"277.22185",0.0277025311665907,0.125212898685369,"277.22185"
"278.04222",0.0029483423619015,0.000192495651212365,"278.04222"
"278.12838",-0.0137778151704333,-0.000628104516690611,"278.12838"
"279.09167",0.11543900449982,0.000359015617935975,"279.09167"
"279.15836",0.0036076792656816,0.00486338395994959,"279.15836"
"279.23647",0.261691594697051,0.572169760437141,"279.23647"
"280.04406",-0.0295353331528524,0.00112829605782552,"280.04406"
"280.99546",-0.0161795690867913,0.00415502633082333,"280.99546"
"281.09727",0.00295993877606707,0.0013123849662504,"281.09727"
"281.14260",-0.00311348633223945,0.0024303185590363,"281.14260"
"281.18423",0.00305395755382285,0.00367063978227938,"281.18423"
"281.25299",0.305393300603149,0.63804081588257,"281.25299"
"281.98153",-0.00639719669811188,0.0042109137399395,"281.98153"
"282.04056",-0.0110900165471715,0.00372294837412736,"282.04056"
"282.09229",-0.0133735746536863,0.00135670653168274,"282.09229"
"282.99082",-0.00138358370132664,0.00198013055394587,"282.99082"
"283.02361",-0.00254857147498624,0.00195806759233301,"283.02361"
"283.07075",-0.00233182410232644,0.00797805957254254,"283.07075"
"283.10835",-0.00852887797830277,0.000137379816775925,"283.10835"
"283.19237",0.0089677918087492,0.00912157777467329,"283.19237"
"283.26652",0.111181461038545,0.14362335900576,"283.26652"
"284.07260",0.00355837572712687,0.00437903517587889,"284.07260"
"284.09957",0.0075187781797719,0.00232211249316971,"284.09957"
"285.07064",-0.00216588845150326,0.000273281523966462,"285.07064"
"285.16856",0.00429755080585775,0.00433085293021343,"285.16856"
"285.21264",0.018818201206452,0.0168424239702925,"285.21264"
"285.95217",-0.0105396867085927,0.00409425137429894,"285.95217"
"286.06269",0.0353319250808924,0.000411249205471189,"286.06269"
"287.06994",0.00276580517907967,-0.000650788041719455,"287.06994"
