"","PC1","PC2","var"
"137.05588",0.0123430541867564,-0.00905053164528841,"137.05588"
"137.09814",0.00104965762909716,0.0113351413686214,"137.09814"
"138.02092",0.0341109860078154,-0.0389351000414842,"138.02092"
"139.00271",0.00773113155203025,-0.0223708503086425,"139.00271"
"139.02517",0.0029525324050733,-0.0237988877885672,"139.02517"
"139.07679",0.00807498967293526,0.00447118368373721,"139.07679"
"139.11418",0.00576938503439834,-0.0198805214328304,"139.11418"
"139.98342",0.00765307034388396,-0.00979743291670849,"139.98342"
"143.00061",0.00301165992176742,-0.0653680636203891,"143.00061"
"143.03784",0.0262268239720964,-0.0507157990567129,"143.03784"
"144.00321",0.00197183879316196,-0.0314818489723993,"144.00321"
"144.04285",-0.00135509951417596,0.00290010288755444,"144.04285"
"144.06447",0.00793366162669832,-0.0386210084312009,"144.06447"
"145.04005",0.00778755980276618,-0.0252311868013123,"145.04005"
"145.06363",0.0451743423325464,-0.156712060695437,"145.06363"
"145.08923",0.0151745347406371,-0.0091450375541288,"145.08923"
"145.10226",0.00868771119069015,-0.0258796371822584,"145.10226"
"146.00119",0.00654228252204831,-0.00900638506596535,"146.00119"
"146.02619",0.0126708542008346,-0.0167761989097438,"146.02619"
"146.04740",0.0340179825205587,-0.136797214768552,"146.04740"
"146.98536",-0.00102988058393323,-0.023713996877008,"146.98536"
"147.03169",-0.00246604920032054,-0.0325385856418737,"147.03169"
"147.07125",0.0105177966297858,-0.0237517493952366,"147.07125"
"148.04385",0.0150256661349219,-0.0251902752986015,"148.04385"
"149.04690",0.0221165562930052,-0.0480879688929369,"149.04690"
"150.01937",0.00328321303091195,-0.0263472313693713,"150.01937"
"151.02795",0.0547330119313345,-0.0834659766639643,"151.02795"
"151.11315",0.0134900733488975,0.00273182130751588,"151.11315"
"152.99766",0.0155572457165743,-0.0523649861643496,"152.99766"
"153.03067",0.00984100584712027,-0.0278306805063188,"153.03067"
"153.09256",0.0270523967737369,0.00132055479903562,"153.09256"
"154.01558",-0.0084518388172012,-0.00924782887320728,"154.01558"
"154.06454",0.0418890081456568,-0.126411652423669,"154.06454"
"154.92916",0.0202246672293834,-0.0329721506569718,"154.92916"
"154.97805",0.0257233251652481,-0.0305360669160662,"154.97805"
"156.92640",0.000266025903632138,-0.0125027801090694,"156.92640"
"156.99307",0.0117018635104547,0.00219267909221393,"156.99307"
"157.03681",0.0133620105462625,-0.0190472230266945,"157.03681"
"159.03253",0.00910864433403533,-0.0263107108263199,"159.03253"
"159.04885",-0.000445744255993964,-0.00449871876588463,"159.04885"
"159.06803",0.0169094454534766,-0.00287150028036256,"159.06803"
"159.07943",0.013849368382562,-0.0220232941460502,"159.07943"
"160.01034",0.00547496122483768,-0.0300628865445332,"160.01034"
